,Market,Model,Seed1_M,Seed1_Q,Seed2_M,Seed2_Q,Seed3_M,Seed3_Q,Seed4_M,Seed4_Q,Seed5_M,Seed5_Q
0,SPY,HAR_RV,0.082*,0.000***,0.056*,0.002***,0.094*,0.001***,0.078*,0.002***,0.132,0.001***
1,SPY,HAR_RV_J,0.106,0.011**,0.066*,0.018**,0.112,0.012**,0.108,0.017**,0.157,0.015**
2,SPY,HAR_RV_CJ,0.080*,0.000***,0.049**,0.002***,0.090*,0.001***,0.074*,0.001***,0.128,0.001***
3,SPY,EWMA,0.035**,0.000***,0.050*,0.000***,0.039**,0.000***,0.042**,0.000***,0.038**,0.000***
4,SPY,GARCH,0.038**,0.000***,0.055*,0.000***,0.043**,0.000***,0.046**,0.000***,0.043**,0.000***
5,SPY,GJR-GARCH,0.064*,0.000***,0.102,0.000***,0.075*,0.000***,0.084*,0.000***,0.073*,0.000***
6,SPY,RGARCH,0.108,0.000***,0.109,0.000***,0.114,0.000***,0.113,0.000***,0.124,0.000***
7,SPY,LSTM,0.084*,0.006***,0.149,0.334,0.096*,0.046**,0.111,0.138,0.107,0.055*
8,SPY,GRU,0.086*,0.004***,0.160,0.033**,0.100*,0.017**,0.122,0.174,0.116,0.006***
9,SPY,BILSTM,0.064*,0.000***,0.154,0.201,0.087*,0.004***,0.154,0.000***,0.132,0.009***
10,SPY,DLinear,0.264,0.000***,0.337,0.001***,0.349,0.000***,0.366,0.002***,0.403,0.001***
11,SPY,PatchTST,0.041**,0.000***,0.021**,0.000***,0.025**,0.001***,0.049**,0.002***,0.057*,0.000***
12,SPY,iTransformer,0.075*,0.009***,0.129,0.000***,0.096*,0.002***,0.101,0.000***,0.095*,0.005***
13,SPY,TimeMixer,0.053*,0.000***,0.213,0.054*,0.039**,0.142,0.063*,0.000***,0.343,0.008***
14,SPY,TimeXer,0.070*,0.000***,0.114,0.000***,0.077*,0.000***,0.116,0.000***,0.155,0.000***
15,DIA,HAR_RV,0.056*,0.000***,0.052*,0.004***,0.149,0.011**,0.060*,0.001***,0.115,0.001***
16,DIA,HAR_RV_J,0.086*,0.000***,0.089*,0.001***,0.213,0.005***,0.123,0.000***,0.158,0.000***
17,DIA,HAR_RV_CJ,0.062*,0.001***,0.051*,0.007***,0.158,0.019**,0.068*,0.002***,0.121,0.001***
18,DIA,EWMA,0.048**,0.000***,0.068*,0.000***,0.051*,0.000***,0.060*,0.000***,0.051*,0.000***
19,DIA,GARCH,0.048**,0.000***,0.068*,0.000***,0.051*,0.000***,0.059*,0.000***,0.052*,0.000***
20,DIA,GJR-GARCH,0.081*,0.000***,0.118,0.000***,0.088*,0.000***,0.104,0.000***,0.087*,0.000***
21,DIA,RGARCH,0.077*,0.000***,0.085*,0.000***,0.102,0.000***,0.089*,0.000***,0.096*,0.000***
22,DIA,LSTM,0.097*,0.004***,0.153,0.137,0.104,0.081*,0.125,0.020**,0.110,0.026**
23,DIA,GRU,0.090*,0.010***,0.151,0.005***,0.103,0.153,0.129,0.044**,0.108,0.031**
24,DIA,BILSTM,0.087*,0.001***,0.166,0.069*,0.101,0.060*,0.181,0.000***,0.134,0.007***
25,DIA,DLinear,0.355,0.001***,0.569,0.004***,0.563,0.090*,0.564,0.018**,0.448,0.008***
26,DIA,PatchTST,0.053*,0.000***,0.029**,0.000***,0.027**,0.006***,0.066*,0.001***,0.071*,0.000***
27,DIA,iTransformer,0.085*,0.010**,0.133,0.038**,0.095*,0.000***,0.099*,0.002***,0.098*,0.000***
28,DIA,TimeMixer,0.042**,0.000***,0.238,0.068*,0.037**,0.146,0.078*,0.000***,0.308,0.021**
29,DIA,TimeXer,0.086*,0.000***,0.125,0.000***,0.088*,0.000***,0.125,0.000***,0.126,0.000***
30,QQQ,HAR_RV,0.108,0.168,0.040**,0.107,0.104,0.485,0.050*,0.109,0.192,0.191
31,QQQ,HAR_RV_J,0.148,0.111,0.044**,0.062*,0.139,0.346,0.081*,0.067*,0.251,0.125
32,QQQ,HAR_RV_CJ,0.103,0.105,0.034**,0.063*,0.098*,0.332,0.046**,0.066*,0.181,0.117
33,QQQ,EWMA,0.019**,0.000***,0.032**,0.000***,0.021**,0.000***,0.024**,0.000***,0.023**,0.000***
34,QQQ,GARCH,0.025**,0.000***,0.034**,0.000***,0.027**,0.000***,0.028**,0.000***,0.031**,0.000***
35,QQQ,GJR-GARCH,0.034**,0.000***,0.048**,0.000***,0.037**,0.001***,0.039**,0.000***,0.041**,0.000***
36,QQQ,RGARCH,0.070*,0.000***,0.065*,0.000***,0.071*,0.001***,0.064*,0.000***,0.085*,0.000***
37,QQQ,LSTM,0.072*,0.185,0.125,0.093*,0.083*,0.202,0.100*,0.080*,0.122,0.066*
38,QQQ,GRU,0.086*,0.204,0.157,0.000***,0.096*,0.404,0.120,0.170,0.143,0.077*
39,QQQ,BILSTM,0.060*,0.128,0.138,0.003***,0.079*,0.097*,0.119,0.000***,0.163,0.160
40,QQQ,DLinear,0.345,0.019**,0.288,0.002***,0.429,0.461,0.341,0.016**,0.538,0.079*
41,QQQ,PatchTST,0.036**,0.000***,0.011**,0.000***,0.016**,0.003***,0.036**,0.000***,0.057*,0.000***
42,QQQ,iTransformer,0.066*,0.002***,0.110,0.000***,0.066*,0.001***,0.072*,0.000***,0.085*,0.003***
43,QQQ,TimeMixer,0.039**,0.000***,0.225,0.119,0.037**,0.148,0.044**,0.000***,0.515,0.189
44,QQQ,TimeXer,0.063*,0.001***,0.113,0.001***,0.068*,0.000***,0.091*,0.000***,0.100*,0.000***
