Market,SPY,SPY,DIA,DIA,QQQ,QQQ
,MSE (W-T-L),QLIKE (W-T-L),MSE (W-T-L),QLIKE (W-T-L),MSE (W-T-L),QLIKE (W-T-L)
Model,,,,,,
HAR_RV,3-2-0,5-0-0,3-2-0,5-0-0,2-3-0,0-5-0
HAR_RV_J,1-4-0,5-0-0,0-5-0,5-0-0,2-3-0,2-3-0
HAR_RV_CJ,3-2-0,5-0-0,3-2-0,5-0-0,2-3-0,2-3-0
EWMA,5-0-0,5-0-0,5-0-0,5-0-0,5-0-0,5-0-0
GARCH,5-0-0,5-0-0,5-0-0,5-0-0,5-0-0,5-0-0
GJR-GARCH,5-0-0,5-0-0,5-0-0,5-0-0,5-0-0,5-0-0
RGARCH,4-1-0,5-0-0,5-0-0,5-0-0,5-0-0,5-0-0
LSTM,5-0-0,3-2-0,5-0-0,4-1-0,5-0-0,3-2-0
GRU,4-1-0,4-1-0,5-0-0,4-1-0,4-1-0,1-4-0
BILSTM,3-2-0,4-1-0,4-1-0,5-0-0,4-1-0,3-2-0
DLinear,0-5-0,5-0-0,0-5-0,4-1-0,0-5-0,3-2-0
PatchTST,5-0-0,5-0-0,5-0-0,5-0-0,5-0-0,5-0-0
iTransformer,5-0-0,5-0-0,5-0-0,5-0-0,5-0-0,5-0-0
TimeMixer,2-3-0,4-1-0,2-3-0,4-1-0,2-3-0,2-3-0
TimeXer,4-1-0,5-0-0,5-0-0,5-0-0,5-0-0,5-0-0
