period,symbol,loss,HAR-RV,HAR-RV-J,HAR-RV-CJ,EWMA,GARCH,GJR-GARCH,RGARCH,LSTM,GRU,BiLSTM,DLinear,PatchTST,iTransformer,TimeMixer,TimeXer,DeepHAR
Top 30%,SPY,MSE,10.204 ¡¾ 0.000,10.068 ¡¾ 0.000,10.232 ¡¾ 0.000,17.684 ¡¾ 0.000,16.604 ¡¾ 0.000,13.765 ¡¾ 0.000,13.262 ¡¾ 0.000,11.831 ¡¾ 0.346,11.420 ¡¾ 0.668,11.044 ¡¾ 0.505,9.312 ¡¾ 0.061,12.762 ¡¾ 1.697,14.229 ¡¾ 0.908,10.302 ¡¾ 0.793,13.147 ¡¾ 1.367,8.980 ¡¾ 0.171
Top 30%,SPY,QLIKE,0.313 ¡¾ 0.000,0.348 ¡¾ 0.000,0.321 ¡¾ 0.000,0.577 ¡¾ 0.000,0.509 ¡¾ 0.000,0.486 ¡¾ 0.000,0.369 ¡¾ 0.000,0.338 ¡¾ 0.012,0.349 ¡¾ 0.013,0.356 ¡¾ 0.026,0.345 ¡¾ 0.005,0.452 ¡¾ 0.082,0.399 ¡¾ 0.049,0.636 ¡¾ 0.671,0.406 ¡¾ 0.054,0.321 ¡¾ 0.007
Top 30%,DIA,MSE,9.114 ¡¾ 0.000,8.894 ¡¾ 0.000,9.090 ¡¾ 0.000,16.857 ¡¾ 0.000,15.790 ¡¾ 0.000,13.509 ¡¾ 0.000,11.139 ¡¾ 0.000,11.707 ¡¾ 0.395,11.316 ¡¾ 0.735,10.665 ¡¾ 0.525,8.129 ¡¾ 0.044,11.908 ¡¾ 1.799,14.181 ¡¾ 0.627,9.456 ¡¾ 0.992,13.025 ¡¾ 1.350,8.104 ¡¾ 0.215
Top 30%,DIA,QLIKE,0.269 ¡¾ 0.000,0.266 ¡¾ 0.000,0.269 ¡¾ 0.000,0.552 ¡¾ 0.000,0.483 ¡¾ 0.000,0.441 ¡¾ 0.000,0.344 ¡¾ 0.000,0.320 ¡¾ 0.009,0.315 ¡¾ 0.017,0.322 ¡¾ 0.025,0.299 ¡¾ 0.004,0.423 ¡¾ 0.066,0.351 ¡¾ 0.025,0.732 ¡¾ 0.826,0.425 ¡¾ 0.043,0.290 ¡¾ 0.013
Top 30%,QQQ,MSE,13.159 ¡¾ 0.000,12.861 ¡¾ 0.000,13.178 ¡¾ 0.000,20.867 ¡¾ 0.000,21.692 ¡¾ 0.000,20.381 ¡¾ 0.000,18.300 ¡¾ 0.000,15.104 ¡¾ 0.371,14.438 ¡¾ 0.755,14.149 ¡¾ 0.581,11.976 ¡¾ 0.074,16.236 ¡¾ 1.973,17.862 ¡¾ 0.850,13.049 ¡¾ 0.908,16.360 ¡¾ 1.178,11.630 ¡¾ 0.139
Top 30%,QQQ,QLIKE,0.290 ¡¾ 0.000,0.291 ¡¾ 0.000,0.294 ¡¾ 0.000,0.443 ¡¾ 0.000,0.387 ¡¾ 0.000,0.376 ¡¾ 0.000,0.299 ¡¾ 0.000,0.302 ¡¾ 0.015,0.309 ¡¾ 0.017,0.311 ¡¾ 0.029,0.297 ¡¾ 0.003,0.487 ¡¾ 0.084,0.426 ¡¾ 0.080,0.606 ¡¾ 0.628,0.358 ¡¾ 0.032,0.282 ¡¾ 0.015
COVID-19 Market Crash,SPY,MSE,38.730 ¡¾ 0.000,37.815 ¡¾ 0.000,38.508 ¡¾ 0.000,85.578 ¡¾ 0.000,75.094 ¡¾ 0.000,66.342 ¡¾ 0.000,40.343 ¡¾ 0.000,54.609 ¡¾ 1.958,52.413 ¡¾ 4.061,50.249 ¡¾ 2.910,34.992 ¡¾ 0.246,56.716 ¡¾ 10.611,71.507 ¡¾ 5.589,43.438 ¡¾ 5.680,63.017 ¡¾ 8.037,37.070 ¡¾ 0.600
COVID-19 Market Crash,SPY,QLIKE,0.365 ¡¾ 0.000,0.349 ¡¾ 0.000,0.362 ¡¾ 0.000,1.343 ¡¾ 0.000,1.131 ¡¾ 0.000,1.143 ¡¾ 0.000,0.367 ¡¾ 0.000,0.358 ¡¾ 0.013,0.355 ¡¾ 0.023,0.382 ¡¾ 0.028,0.319 ¡¾ 0.005,0.591 ¡¾ 0.195,0.611 ¡¾ 0.123,2.591 ¡¾ 4.962,0.518 ¡¾ 0.088,0.320 ¡¾ 0.016
COVID-19 Market Crash,DIA,MSE,43.014 ¡¾ 0.000,41.500 ¡¾ 0.000,42.775 ¡¾ 0.000,93.810 ¡¾ 0.000,84.161 ¡¾ 0.000,77.494 ¡¾ 0.000,46.559 ¡¾ 0.000,65.052 ¡¾ 2.401,62.422 ¡¾ 4.832,58.747 ¡¾ 3.278,37.542 ¡¾ 0.218,62.793 ¡¾ 11.717,82.311 ¡¾ 4.230,47.802 ¡¾ 6.922,73.284 ¡¾ 8.974,40.821 ¡¾ 1.247
COVID-19 Market Crash,DIA,QLIKE,0.353 ¡¾ 0.000,0.328 ¡¾ 0.000,0.350 ¡¾ 0.000,1.161 ¡¾ 0.000,0.972 ¡¾ 0.000,0.760 ¡¾ 0.000,0.364 ¡¾ 0.000,0.367 ¡¾ 0.019,0.360 ¡¾ 0.030,0.364 ¡¾ 0.022,0.294 ¡¾ 0.004,0.556 ¡¾ 0.159,0.615 ¡¾ 0.108,3.115 ¡¾ 6.117,0.547 ¡¾ 0.086,0.291 ¡¾ 0.026
