Model,SPY,DIA,QQQ,ALL
HAR_RV,3.525%,3.624%,3.594%,3.581%
HAR_RV_J,3.486%,3.621%,3.589%,3.565%
HAR_RV_CJ,3.520%,3.627%,3.588%,3.578%
EWMA,3.237%,3.356%,3.383%,3.325%
GARCH,3.303%,3.401%,3.445%,3.383%
GJR-GARCH,3.325%,3.449%,3.457%,3.410%
RGARCH,3.411%,3.534%,3.519%,3.488%
LSTM,3.527%,3.619%,3.575%,3.574%
GRU,3.522%,3.623%,3.574%,3.573%
BILSTM,3.512%,3.615%,3.562%,3.563%
DLinear,3.518%,3.626%,3.578%,3.574%
PatchTST,3.437%,3.536%,3.421%,3.465%
iTransformer,3.464%,3.574%,3.457%,3.498%
TimeMixer,3.170%,3.150%,3.229%,3.183%
TimeXer,3.450%,3.511%,3.501%,3.487%
DeepHAR,3.544%,3.643%,3.592%,3.593%
