,Market,Model,Seed1_M,Seed1_Q,Seed2_M,Seed2_Q,Seed3_M,Seed3_Q,Seed4_M,Seed4_Q,Seed5_M,Seed5_Q
0,SPY,HAR_RV,0.045**,0.000***,0.033**,0.001***,0.069*,0.000***,0.039**,0.001***,0.094*,0.000***
1,SPY,HAR_RV_J,0.057*,0.002***,0.034**,0.006***,0.084*,0.003***,0.053*,0.005***,0.105,0.003***
2,SPY,HAR_RV_CJ,0.044**,0.000***,0.037**,0.000***,0.069*,0.000***,0.042**,0.000***,0.095*,0.000***
3,SPY,EWMA,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***
4,SPY,GARCH,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***
5,SPY,GJR-GARCH,0.002***,0.000***,0.008***,0.000***,0.003***,0.000***,0.005***,0.000***,0.005***,0.000***
6,SPY,RGARCH,0.038**,0.000***,0.042**,0.000***,0.046**,0.000***,0.045**,0.000***,0.050*,0.000***
7,SPY,LSTM,0.009***,0.002***,0.039**,0.297,0.010***,0.016**,0.016**,0.088*,0.037**,0.031**
8,SPY,GRU,0.014**,0.004***,0.045**,0.018**,0.009***,0.002***,0.024**,0.133,0.076*,0.006***
9,SPY,BILSTM,0.003***,0.000***,0.040**,0.158,0.009***,0.001***,0.060*,0.000***,0.087*,0.005***
10,SPY,DLinear,0.212,0.000***,0.318,0.001***,0.337,0.000***,0.327,0.001***,0.372,0.000***
11,SPY,PatchTST,0.000***,0.000***,0.000***,0.000***,0.013**,0.000***,0.014**,0.001***,0.008***,0.000***
12,SPY,iTransformer,0.001***,0.000***,0.014**,0.000***,0.004***,0.000***,0.005***,0.000***,0.008***,0.000***
13,SPY,TimeMixer,0.034**,0.000***,0.189,0.039**,0.053*,0.143,0.017**,0.000***,0.344,0.005***
14,SPY,TimeXer,0.002***,0.000***,0.009***,0.000***,0.002***,0.000***,0.009***,0.000***,0.104,0.000***
15,DIA,HAR_RV,0.045**,0.000***,0.026**,0.001***,0.141,0.007***,0.038**,0.000***,0.132,0.000***
16,DIA,HAR_RV_J,0.082*,0.000***,0.069*,0.000***,0.212,0.002***,0.109,0.000***,0.178,0.000***
17,DIA,HAR_RV_CJ,0.050**,0.000***,0.028**,0.003***,0.149,0.012**,0.045**,0.001***,0.136,0.000***
18,DIA,EWMA,0.000***,0.000***,0.001***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***
19,DIA,GARCH,0.000***,0.000***,0.001***,0.000***,0.000***,0.000***,0.001***,0.000***,0.001***,0.000***
20,DIA,GJR-GARCH,0.001***,0.000***,0.007***,0.000***,0.002***,0.000***,0.004***,0.000***,0.003***,0.000***
21,DIA,RGARCH,0.024**,0.000***,0.032**,0.000***,0.043**,0.000***,0.037**,0.000***,0.040**,0.000***
22,DIA,LSTM,0.005***,0.000***,0.032**,0.075*,0.007***,0.025**,0.014**,0.002***,0.015**,0.006***
23,DIA,GRU,0.005***,0.004***,0.030**,0.001***,0.006***,0.071*,0.017**,0.014**,0.023**,0.014**
24,DIA,BILSTM,0.003***,0.000***,0.038**,0.029**,0.006***,0.018**,0.060*,0.000***,0.045**,0.002***
25,DIA,DLinear,0.341,0.000***,0.565,0.002***,0.569,0.076*,0.578,0.007***,0.451,0.005***
26,DIA,PatchTST,0.000***,0.000***,0.001***,0.000***,0.017**,0.002***,0.009***,0.000***,0.007***,0.000***
27,DIA,iTransformer,0.001***,0.000***,0.019**,0.005***,0.003***,0.000***,0.004***,0.000***,0.005***,0.000***
28,DIA,TimeMixer,0.021**,0.000***,0.172,0.047**,0.133,0.146,0.011**,0.000***,0.339,0.016**
29,DIA,TimeXer,0.003***,0.000***,0.011**,0.000***,0.002***,0.000***,0.011**,0.000***,0.029**,0.000***
30,QQQ,HAR_RV,0.064*,0.152,0.024**,0.098*,0.070*,0.485,0.025**,0.098*,0.133,0.180
31,QQQ,HAR_RV_J,0.095*,0.083*,0.034**,0.048**,0.106,0.337,0.045**,0.049**,0.195,0.102
32,QQQ,HAR_RV_CJ,0.060*,0.071*,0.029**,0.038**,0.067*,0.317,0.024**,0.039**,0.128,0.088*
33,QQQ,EWMA,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***
34,QQQ,GARCH,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***
35,QQQ,GJR-GARCH,0.000***,0.000***,0.001***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***,0.000***
36,QQQ,RGARCH,0.020**,0.000***,0.018**,0.000***,0.023**,0.000***,0.020**,0.000***,0.029**,0.000***
37,QQQ,LSTM,0.007***,0.131,0.024**,0.042**,0.008***,0.135,0.011**,0.029**,0.032**,0.037**
38,QQQ,GRU,0.014**,0.172,0.039**,0.000***,0.009***,0.368,0.019**,0.106,0.064*,0.057*
39,QQQ,BILSTM,0.004***,0.068*,0.029**,0.001***,0.008***,0.043**,0.025**,0.000***,0.084*,0.113
40,QQQ,DLinear,0.299,0.013**,0.291,0.001***,0.416,0.460,0.310,0.009***,0.552,0.066*
41,QQQ,PatchTST,0.000***,0.000***,0.000***,0.000***,0.010***,0.001***,0.007***,0.000***,0.007***,0.000***
42,QQQ,iTransformer,0.001***,0.000***,0.010***,0.000***,0.002***,0.000***,0.002***,0.000***,0.006***,0.000***
